ID,frequency,recency,T
8360,0,0,1101.493958
8365,2,1083.754051,1085.252951
8377,0,0,1066.457222
8379,1,78.02883102,440.2819444
8396,6,946.3797685,1105.51081
8427,0,0,503.0550116
8439,0,0,666.4010301
8446,2,635.2611921,1089.428391
8449,0,0,537.3130787
8453,0,0,1184.510556
8471,5,649.9416898,875.5425579
8478,0,0,573.294919
8479,0,0,566.1528704
8500,4,1014.770359,1077.351794
8501,0,0,138.9833681
8502,0,0,620.1864236
8505,0,0,1193.395081
8528,2,879.8575463,955.2262037
8576,0,0,1126.326829
8578,0,0,104.0886111
8605,0,0,271.0952662
8642,0,0,300.3292014
8651,0,0,743.1834722
8684,1,28.97421296,275.4347801
8708,0,0,215.1867708
8723,1,1128.392894,1147.608981
8726,0,0,578.0674653
8737,0,0,524.2660995
8753,1,536.7714931,928.2810648
8756,0,0,662.1614236
8770,0,0,1020.172002
8828,0,0,1006.354942
8833,1,303.0167477,400.2109722
8840,0,0,366.3240741
8841,1,20.68424769,576.3125116
8844,0,0,1036.433229
8857,8,887.286412,1027.438773
8859,3,614.7192708,991.1431597
8865,0,0,739.0924653
8883,3,778.7959491,1101.106748
8906,2,872.0072222,1016.510428
8955,1,115.8378241,691.9235995
8963,1,442.5013194,629.0980208
8969,1,11.12086806,692.411088
8976,0,0,169.5019444
8979,0,0,928.4967477
8980,1,57.09730324,405.5097801
8981,0,0,545.3353588
8982,0,0,905.1916204
9004,3,608.9664699,1049.314525
9006,0,0,894.4264815
9010,9,1037.063032,1092.460324
9014,0,0,155.4009028
9018,2,546.9528009,1102.411505
9019,2,503.0738889,607.4865394
9021,0,0,505.3286227
9040,1,451.1936458,1146.653079
9048,2,679.9759838,874.5717593
9068,1,601.0133333,1073.555139
9070,2,186.0393981,743.4180093
9122,2,137.9885185,868.5830556
9128,2,637.0471759,1013.047211
9138,0,0,566.2078241
9142,1,391.6562616,1125.140243
9159,1,191.6330324,460.0744792
9164,1,90.13491898,1118.489711
9174,0,0,313.1672917
9194,0,0,871.5243171
9211,1,524.966412,558.0183681
9217,4,615.8190741,1061.994178
9221,0,0,201.1614005
9224,0,0,613.0034028
9228,3,1055.825729,1062.130035
9236,0,0,872.5620949
9244,0,0,1112.010903
9251,0,0,516.1317593
9262,0,0,722.3867593
9267,1,522.1293519,1024.261424
9287,0,0,442.058588
9300,2,697.5519676,1105.6225
9326,0,0,477.5441667
9335,2,561.0875116,1156.185382
9356,2,62.93795139,993.3058449
9357,1,457.0760301,554.6670949
9423,1,555.6656019,1013.133137
9426,0,0,445.0970139
9432,0,0,787.5762847
9456,0,0,961.3627662
9472,1,11.92666667,331.0518519
9485,1,294.0383218,684.3746644
9498,1,773.0410995,1136.25463
9508,0,0,1063.109618
9534,13,827.2296181,1095.573877
9568,2,824.9107639,1123.115116
9574,0,0,300.0940972
9579,0,0,118.2304745
9582,0,0,1064.364398
9598,0,0,62.26361111
9612,0,0,1193.602998
9629,0,0,782.3087731
9630,0,0,1144.929988
9633,6,751.0666088,892.3020833
9636,0,0,394.0647106
9650,20,973.586956,1073.315718
9671,9,1187.112951,1193.253345
9673,2,910.8836921,986.10875
9683,1,739.6148611,1096.081412
9687,2,175.2439583,787.3595949
9691,3,676.8837153,1169.222095
9714,1,445.1507523,568.6486111
9717,1,263.4999884,296.1731134
9726,0,0,1105.001782
9735,1,725.3764583,1190.535961
9758,0,0,647.4122106
9762,4,543.2689236,893.6539352
9769,0,0,1109.699664
9792,1,181.9494676,337.5851273
9793,0,0,1174.146678
9799,4,537.9315278,547.5306366
9807,0,0,1064.333009
9830,0,0,1087.714792
9844,0,0,576.1580787
9851,3,483.010544,551.3068519
9857,8,760.9804745,853.3366667
9858,2,311.9231366,862.5861921
9870,1,4.520578704,723.0415972
9882,2,880.9703241,963.0903241
9892,0,0,834.430706
9903,1,73.58106481,1103.000579
9933,5,855.192581,1174.285093
9940,2,643.3558333,742.3571991
9946,0,0,971.4215394
9964,3,801.5598958,919.0628125
9968,0,0,793.6165741
9982,3,560.1281019,1014.166736
10000,1,60.61765046,975.683669
10024,0,0,425.0925463
10029,1,0.71349537,494.6365856
10036,0,0,457.328588
10042,1,565.3214236,694.4907176
10048,0,0,430.3736921
10052,6,689.7390625,785.8892014
10063,1,511.9978472,955.2641667
10082,0,0,823.423669
10084,0,0,930.4304514
10103,0,0,298.4578009
10104,2,187.0732407,192.3137384
10105,2,411.0509722,629.4070949
10108,17,1175.162303,1188.209225
10112,3,949.7549769,975.1733102
10121,0,0,937.3905324
10127,0,0,501.9883796
10130,0,0,933.1568056
10136,0,0,835.5544792
10146,2,396.1311343,1100.401088
10157,0,0,837.9452662
10179,0,0,642.0620602
10183,0,0,529.9372338
10222,11,780.0184491,982.4876042
10229,1,18.53045139,513.1791319
10253,1,189.9480787,1192.058009
10313,4,657.9211574,1104.070822
10322,0,0,552.5078241
10325,0,0,684.9579167
10343,0,0,883.1797222
10345,2,117.2267014,1043.406817
10347,0,0,132.2541204
10366,0,0,1027.098738
10391,6,816.1351273,1168.135313
10408,0,0,409.0910995
10410,1,665.9428009,1063.555509
10411,0,0,713.0731366
10414,2,398.7863194,443.2984144
10418,0,0,767.1599653
10423,0,0,1107.532153
10427,0,0,692.4663773
10443,1,581.0432986,1052.152025
10448,5,578.9757986,1066.509433
10455,0,0,1047.48978
10506,0,0,84.26369213
10529,0,0,1149.653819
10531,10,1150.81544,1166.398831
10539,1,637.2550116,772.3404167
10554,0,0,1028.015938
10572,1,13.61349537,502.2415394
10585,1,387.6959259,908.0985417
10587,3,297.4179861,321.1004051
10591,5,988.7512731,1072.267593
10618,6,504.346412,1189.368356
10649,5,953.8011458,1153.295567
10650,0,0,1102.610313
10654,1,1043.740544,1104.137766
10657,3,563.2338426,929.4654398
10692,2,406.8163773,452.9712847
10701,4,631.0616898,729.6588889
10725,0,0,1064.430255
10726,1,398.1067477,859.7356713
10730,0,0,1130.360914
10738,0,0,656.2307407
10739,0,0,999.1176505
10757,5,761.9425347,1194.132604
10785,0,0,897.9682755
10793,0,0,7.073414352
10794,2,216.7615972,1190.512905
10805,0,0,867.7108912
10814,0,0,1067.286933
10820,0,0,591.2677894
10827,3,394.8959722,677.2840741
10851,0,0,1106.343762
10855,7,820.4556481,982.6664583
10857,1,185.070081,1187.20985
10873,0,0,436.6595486
10875,1,21.96384259,767.2202894
10882,0,0,570.5026736
10885,0,0,998.6173727
10886,0,0,191.6407986
10888,0,0,430.6681713
10891,3,587.4232407,1083.970706
10893,0,0,1161.382199
10896,0,0,828.4770023
10900,2,522.3890394,875.4157292
10901,0,0,426.5412153
10903,0,0,844.3184954
10908,0,0,241.4778472
10920,3,335.3312616,936.5103356
10936,2,328.9599421,1191.192986
10951,0,0,465.3775116
10952,0,0,113.3944907
10955,0,0,413.1328704
10956,0,0,1124.226076
10960,0,0,547.5641898
10961,0,0,886.4279167
10967,0,0,915.0564005
10976,0,0,116.3407176
10995,0,0,224.595787
11026,1,167.1954861,777.2799306
11032,0,0,999.1132986
11039,0,0,1011.324977
11056,2,195.0246181,1185.068241
11069,2,475.0844329,1150.433252
11094,1,150.552963,1001.274329
11097,0,0,1180.498102
11099,0,0,552.0535301
